Date,Open,High,Low,Close,Volume
2017-04-12,171.040,171.200,170.020,170.660,3276931
2017-04-13,169.920,171.360,169.530,169.530,3205462
2017-04-17,169.750,171.300,169.620,171.100,3720218
2017-04-18,170.790,171.690,169.830,170.050,6345465
2017-04-19,161.760,162.640,159.600,161.690,19284284
2017-04-20,161.320,162.400,160.500,162.300,6487379
2017-04-21,162.050,162.110,160.380,160.380,5607756
2017-04-24,161.290,161.570,160.420,160.750,5320608
2017-04-25,161.780,162.040,160.380,160.390,4860407
2017-04-26,160.530,161.100,159.890,160.060,4328001
2017-04-27,160.290,160.480,159.630,160.320,4122943
2017-04-28,160.500,160.590,159.700,160.290,4154147
2017-05-01,160.050,160.420,158.700,158.840,4935312
2017-05-02,159.440,159.490,158.640,159.100,3208239
2017-05-03,158.740,159.450,158.520,158.630,3993396
2017-05-04,158.890,159.140,158.360,159.050,4280613
2017-05-05,153.520,155.780,153.000,155.050,12521335
2017-05-08,152.800,153.470,152.200,153.030,7491966
2017-05-09,152.600,153.100,151.560,152.110,6853043
2017-05-10,151.650,152.370,151.130,151.250,4999861
2017-05-11,151.050,151.150,149.790,150.650,5627964
2017-05-12,150.300,151.260,150.000,150.370,3715702
2017-05-15,150.620,151.830,150.450,151.510,4245471
2017-05-16,151.660,153.990,151.660,153.680,5513690
2017-05-17,153.300,154.140,150.890,150.930,5191494
2017-05-18,150.860,151.330,150.110,150.780,3274371
2017-05-19,151.010,152.460,150.890,151.980,5643264
2017-05-22,152.100,152.840,151.600,152.640,3302539
2017-05-23,152.570,153.680,151.920,152.030,2564503
2017-05-24,152.210,152.760,151.230,152.510,3732399
2017-05-25,153.250,153.730,152.950,153.200,2582815
2017-05-26,152.850,153.000,152.060,152.490,2443507
2017-05-30,151.950,152.670,151.590,151.730,3666032
2017-05-31,152.030,152.800,151.650,152.630,3543404
2017-06-01,152.800,152.870,151.630,152.670,2918126
2017-06-02,153.070,153.200,151.800,152.050,3585701
2017-06-05,151.820,152.930,151.680,152.410,3975268
2017-06-06,152.000,152.890,152.000,152.370,3797173
2017-06-07,153.050,154.200,150.800,150.980,4865712
2017-06-08,151.000,152.820,150.920,152.100,3708962
2017-06-09,152.000,154.260,151.880,154.100,4361460
2017-06-12,154.190,157.200,154.020,155.180,6471479
2017-06-13,155.440,155.480,154.150,154.250,3523529
2017-06-14,153.970,154.940,152.940,153.810,3049726
2017-06-15,153.290,154.690,153.290,154.220,4654297
2017-06-16,154.230,155.420,152.970,155.380,6741963
2017-06-19,155.510,155.860,154.540,154.840,4629592
2017-06-20,154.480,155.390,154.250,154.950,4481843
2017-06-21,155.790,155.790,153.390,153.790,3959668
2017-06-22,154.550,154.990,153.690,154.400,2376819
2017-06-23,154.340,154.680,153.800,154.110,3282205
2017-06-26,154.710,155.750,154.630,155.230,2153494
2017-06-27,155.000,155.340,154.500,154.750,2386491
2017-06-28,155.150,155.550,154.780,155.320,2220954
2017-06-29,155.350,155.740,153.620,154.130,3262159
2017-06-30,154.280,154.500,153.140,153.830,3571536
2017-07-03,153.580,156.020,153.520,155.580,2822651
2017-07-05,155.770,155.890,153.630,153.670,3564354
2017-07-06,153.360,153.830,152.230,152.360,2757522
2017-07-07,152.620,153.490,152.140,152.940,2460060
2017-07-10,152.910,153.890,152.630,153.420,3206209
2017-07-11,153.260,153.650,152.050,153.190,3447509
2017-07-12,153.480,154.240,153.050,153.700,3097850
2017-07-13,153.700,154.190,153.190,153.630,2476112
2017-07-14,154.010,154.620,153.400,154.240,3256372
2017-07-17,153.590,153.880,152.240,153.010,4762592
2017-07-18,152.360,154.290,152.000,154.000,7566818
2017-07-19,150.020,150.250,146.710,147.530,14293610
2017-07-20,147.530,148.830,147.030,147.660,7212233
2017-07-21,147.590,147.870,146.510,147.080,6509459
2017-07-24,147.000,147.040,145.800,145.990,3877593
2017-07-25,146.570,147.490,146.030,146.190,4208895
2017-07-26,146.270,146.460,144.470,145.360,3932361
2017-07-27,145.000,145.400,143.640,145.070,6430841
2017-07-28,144.810,145.040,143.840,144.290,3054834
2017-07-31,,144.930,,144.670,4355718
2017-08-01,145.000,145.670,144.720,145.300,3219477
2017-08-02,145.120,145.290,144.220,144.450,3540949
2017-08-03,144.430,145.340,144.430,144.940,3035393
2017-08-04,145.000,145.390,144.400,145.160,2549400
2017-08-07,145.000,145.090,142.750,143.470,4618284
2017-08-08,142.000,142.760,142.000,142.110,3298718
2017-08-09,141.750,142.030,141.190,141.770,2925770
2017-08-10,141.640,142.420,141.230,141.840,4525378
2017-08-11,142.450,142.590,141.520,141.840,3004360
2017-08-14,142.000,142.760,141.940,142.320,2248607
2017-08-15,142.550,143.340,140.580,142.070,4681545
2017-08-16,141.790,142.910,141.610,142.500,3287821
2017-08-17,142.520,142.890,140.700,140.700,4422087
2017-08-18,140.870,141.150,139.580,139.700,4152714
2017-08-21,139.590,140.420,139.130,140.330,3190691
2017-08-22,140.640,141.150,140.380,141.010,2544446
2017-08-23,140.700,143.050,140.680,142.140,4048317
2017-08-24,142.500,143.680,142.250,142.940,3592183
2017-08-25,143.300,144.190,143.250,143.740,2872893
2017-08-28,144.110,144.560,142.390,142.510,5134463
2017-08-29,142.100,143.420,141.900,143.140,3009520
2017-08-30,143.260,143.280,142.410,142.560,2735966
2017-08-31,143.020,143.660,142.630,143.030,3656428
2017-09-01,142.980,144.500,142.980,144.080,3351733
2017-09-05,143.500,144.360,142.700,143.040,3098735
2017-09-06,143.880,144.470,143.500,143.820,3273344
2017-09-07,144.100,144.640,142.410,142.900,4188158
2017-09-08,143.150,143.150,141.640,142.450,3366169
2017-09-11,143.540,145.130,143.010,144.860,4613381
2017-09-12,145.110,146.370,144.510,145.760,5238148
2017-09-13,145.350,146.290,145.340,145.990,4100980
2017-09-14,145.860,146.380,145.510,145.540,3756861
2017-09-15,144.820,145.170,144.080,144.820,7397233
2017-09-18,144.810,145.480,144.270,144.550,3019514
2017-09-19,144.790,144.980,144.220,144.390,3464383
2017-09-20,144.930,145.880,144.420,145.880,5447519
2017-09-21,145.650,145.890,145.100,145.260,2555596
2017-09-22,145.590,145.590,144.590,145.130,2792323
2017-09-25,145.120,146.030,144.910,145.870,5213144
2017-09-26,146.360,147.420,145.940,146.560,4488620
2017-09-27,146.680,146.900,145.030,145.660,3486610
2017-09-28,145.330,145.860,144.210,145.660,2774788
2017-09-29,145.450,145.690,144.920,145.080,2654731
